CustomerID,Age,Gender,EmploymentStatus,Income,CreditHistory,LoanID,LoanAmount,InterestRate,LoanTerm,PaymentHistory,Default,Year,DefaultRate
100,15,Male,Employed,26840,Good,201,13503,4.5,24 months,Defaulted,No,2020,0.48484848484848486
101,58,Male,Employed,26840,Good,201,13503,4.5,24 months,Defaulted,No,2020,0.48484848484848486
102,48,Male,Employed,85077,Poor,202,27232,9.2,24 months,Defaulted,No,2021,0.49143532191376255
103,34,Female,Student,51440,Good,203,15193,7.5,36 months,On-time,No,2022,0.47486694263749263
104,62,Female,Employed,55183,Excellent,204,24121,9.4,48 months,On-time,No,2020,0.48484848484848486
105,27,Female,Student,22389,Excellent,205,10493,8.1,48 months,On-time,No,2021,0.49143532191376255
106,40,Male,Unemployed,75076,Limited,206,8877,9.8,36 months,Defaulted,No,2021,0.49143532191376255
107,58,Female,Unemployed,86299,Poor,207,7282,7.1,24 months,Defaulted,Yes,2021,0.49143532191376255
108,38,Female,Employed,59023,Limited,208,28170,7.8,24 months,Missed,No,2021,0.49143532191376255
109,42,Female,Student,70029,Good,209,16375,7.5,36 months,Defaulted,No,2020,0.48484848484848486
110,30,Male,Employed,59941,Poor,210,26892,6.9,24 months,On-time,No,2021,0.49143532191376255
111,30,Female,Student,73950,Limited,211,6431,9.1,24 months,Missed,No,2022,0.47486694263749263
112,43,Male,Student,96054,Poor,212,17526,7.9,48 months,Defaulted,No,2022,0.47486694263749263
113,55,Male,Student,85363,Poor,213,6775,8.8,36 months,Missed,No,2020,0.48484848484848486
114,59,Female,Unemployed,81742,Limited,214,25591,8.7,24 months,Missed,Yes,2020,0.48484848484848486
115,43,Male,Student,65215,Poor,215,16351,5.1,24 months,Defaulted,Yes,2022,0.47486694263749263
116,22,Female,Unemployed,67857,Good,216,19639,7.9,24 months,On-time,No,2022,0.47486694263749263
117,41,Male,Student,75476,Excellent,217,9385,5.2,36 months,On-time,Yes,2020,0.48484848484848486
118,21,Female,Unemployed,48173,Excellent,218,27735,7.5,36 months,Missed,No,2022,0.47486694263749263
119,43,Female,Unemployed,29395,Poor,219,20203,8.1,24 months,Defaulted,Yes,2022,0.47486694263749263
120,63,Female,Unemployed,79768,Excellent,220,8974,10.0,48 months,Defaulted,No,2020,0.48484848484848486
121,49,Male,Employed,66229,Poor,221,10905,4.2,48 months,On-time,Yes,2020,0.48484848484848486
122,57,Female,Student,46639,Limited,222,26061,4.5,36 months,Defaulted,Yes,2021,0.49143532191376255
123,21,Male,Employed,82583,Good,223,9465,4.5,48 months,Defaulted,No,2021,0.49143532191376255
124,40,Female,Student,48924,Excellent,224,29795,6.4,24 months,Missed,No,2022,0.47486694263749263
125,52,Male,Student,92969,Limited,225,24686,8.9,36 months,Defaulted,Yes,2020,0.48484848484848486
126,31,Male,Employed,50104,Good,226,11945,9.1,36 months,Defaulted,No,2021,0.49143532191376255
127,41,Female,Unemployed,57594,Excellent,227,16058,8.4,48 months,Defaulted,No,2022,0.47486694263749263
128,63,Female,Student,23664,Excellent,228,17636,9.4,36 months,On-time,No,2022,0.47486694263749263
129,44,Female,Unemployed,30528,Good,229,7302,5.9,48 months,On-time,No,2022,0.47486694263749263
130,46,Female,Employed,48190,Limited,230,27669,4.5,48 months,Missed,No,2022,0.47486694263749263
131,61,Female,Unemployed,86033,Limited,231,9966,4.3,24 months,On-time,No,2020,0.48484848484848486
132,47,Male,Student,81161,Excellent,232,18447,9.1,48 months,On-time,Yes,2022,0.47486694263749263
133,35,Female,Student,93177,Good,233,25110,8.4,48 months,On-time,No,2021,0.49143532191376255
134,34,Female,Student,90179,Limited,234,23426,8.2,36 months,On-time,No,2020,0.48484848484848486
